exact tail vs brute-force Monte Carlo   (200,000 reps per setting)

mechanism              n     r     u |      exact         Monte Carlo |      z
------------------------------------------------------------------------------
Gaussian mu=0.8     2000   500    80 |   0.011912     0.011680+-0.00048 |   0.97
Gaussian mu=0.8     2000   500    90 |   0.133620     0.132950+-0.00152 |   0.88
Gaussian mu=0.8     2000   500   100 |   0.503419     0.502675+-0.00224 |   0.67
Gaussian mu=0.8     2000   500   110 |   0.864023     0.863355+-0.00154 |   0.87
Gaussian mu=0.8     2000  2000   551 |   0.000000     0/200000 events |   in CI
Gaussian mu=0.8     2000  2000   620 |   0.000566     0.000575+-0.00011 |  -0.16
Gaussian mu=0.8     2000  2000   689 |   0.507419     0.507200+-0.00224 |   0.20
Gaussian mu=0.8     2000  2000   758 |   0.999404     0.999435+-0.00011 |  -0.58
Gaussian mu=0.8     4000  1000   160 |   0.000591     0.000555+-0.00011 |   0.69
Gaussian mu=0.8     4000  1000   180 |   0.053213     0.053255+-0.00100 |  -0.08
Gaussian mu=0.8     4000  1000   201 |   0.518346     0.517880+-0.00223 |   0.42
Gaussian mu=0.8     4000  1000   221 |   0.943725     0.943460+-0.00103 |   0.51
Gaussian mu=1.5     2000   500    21 |   0.155461     0.154915+-0.00162 |   0.67
Gaussian mu=1.5     2000   500    23 |   0.274312     0.272505+-0.00199 |   1.82
Gaussian mu=1.5     2000   500    26 |   0.499921     0.498405+-0.00224 |   1.36
Gaussian mu=1.5     2000   500    29 |   0.718304     0.716625+-0.00202 |   1.67
Gaussian mu=1.5     2000  2000   362 |   0.000000     0/200000 events |   in CI
Gaussian mu=1.5     2000  2000   407 |   0.006767     0.007240+-0.00038 |  -2.50
Gaussian mu=1.5     2000  2000   453 |   0.507168     0.508380+-0.00224 |  -1.08
Gaussian mu=1.5     2000  2000   498 |   0.991673     0.991775+-0.00040 |  -0.50
Gaussian mu=1.5     4000  1000    42 |   0.063584     0.063385+-0.00109 |   0.36
Gaussian mu=1.5     4000  1000    47 |   0.213634     0.213090+-0.00183 |   0.59
Gaussian mu=1.5     4000  1000    53 |   0.520724     0.519365+-0.00223 |   1.22
Gaussian mu=1.5     4000  1000    58 |   0.768389     0.767265+-0.00189 |   1.19
Laplace mu=1        2000   500   107 |   0.002748     0.002775+-0.00024 |  -0.23
Laplace mu=1        2000   500   121 |   0.094397     0.094345+-0.00131 |   0.08
Laplace mu=1        2000   500   134 |   0.504281     0.504490+-0.00224 |  -0.19
Laplace mu=1        2000   500   147 |   0.904710     0.905085+-0.00131 |  -0.57
Laplace mu=1        2000  2000   485 |   0.000000     0/200000 events |   in CI
Laplace mu=1        2000  2000   545 |   0.001370     0.001410+-0.00017 |  -0.48
Laplace mu=1        2000  2000   606 |   0.500678     0.501415+-0.00224 |  -0.66
Laplace mu=1        2000  2000   667 |   0.998372     0.998340+-0.00018 |   0.35
Laplace mu=1        4000  1000   215 |   0.000049     7/200000 events |   in CI
Laplace mu=1        4000  1000   242 |   0.028673     0.028740+-0.00075 |  -0.18
Laplace mu=1        4000  1000   268 |   0.489634     0.491545+-0.00224 |  -1.71
Laplace mu=1        4000  1000   295 |   0.969993     0.970380+-0.00076 |  -1.02
Laplace mu=2        2000   500    47 |   0.044045     0.044230+-0.00092 |  -0.40
Laplace mu=2        2000   500    53 |   0.201256     0.201410+-0.00179 |  -0.17
Laplace mu=2        2000   500    59 |   0.501419     0.500845+-0.00224 |   0.51
Laplace mu=2        2000   500    65 |   0.793935     0.793695+-0.00181 |   0.26
Laplace mu=2        2000  2000   294 |   0.000007     1/200000 events |   in CI
Laplace mu=2        2000  2000   331 |   0.016940     0.016560+-0.00057 |   1.33
Laplace mu=2        2000  2000   367 |   0.493690     0.493240+-0.00224 |   0.40
Laplace mu=2        2000  2000   404 |   0.981848     0.981585+-0.00060 |   0.87
Laplace mu=2        4000  1000    95 |   0.008821     0.008875+-0.00042 |  -0.26
Laplace mu=2        4000  1000   107 |   0.125829     0.125365+-0.00148 |   0.63
Laplace mu=2        4000  1000   119 |   0.516502     0.516300+-0.00223 |   0.18
Laplace mu=2        4000  1000   131 |   0.883987     0.885445+-0.00142 |  -2.05
SGM mu=1 q=0.5      2000   500   124 |   0.001310     0.001335+-0.00016 |  -0.31
SGM mu=1 q=0.5      2000   500   139 |   0.063887     0.064255+-0.00110 |  -0.67
SGM mu=1 q=0.5      2000   500   155 |   0.511126     0.511005+-0.00224 |   0.11
SGM mu=1 q=0.5      2000   500   170 |   0.927183     0.926805+-0.00116 |   0.65
SGM mu=1 q=0.5      2000  2000   646 |   0.000000     0/200000 events |   in CI
SGM mu=1 q=0.5      2000  2000   727 |   0.000102    20/200000 events |   in CI
SGM mu=1 q=0.5      2000  2000   808 |   0.499898     0.498540+-0.00224 |   1.21
SGM mu=1 q=0.5      2000  2000   889 |   0.999880   199981/200000 events |   in CI
SGM mu=1 q=0.5      4000  1000   248 |   0.000009     2/200000 events |   in CI
SGM mu=1 q=0.5      4000  1000   279 |   0.016893     0.017240+-0.00058 |  -1.19
SGM mu=1 q=0.5      4000  1000   310 |   0.500901     0.502375+-0.00224 |  -1.32
SGM mu=1 q=0.5      4000  1000   341 |   0.981610     0.981615+-0.00060 |  -0.02
SGM mu=2 q=0.2      2000   500   139 |   0.000606     0.000570+-0.00011 |   0.68
SGM mu=2 q=0.2      2000   500   156 |   0.052516     0.052585+-0.00100 |  -0.14
SGM mu=2 q=0.2      2000   500   173 |   0.485641     0.484795+-0.00224 |   0.76
SGM mu=2 q=0.2      2000   500   191 |   0.946966     0.946765+-0.00100 |   0.40
SGM mu=2 q=0.2      2000  2000   690 |   0.000000     0/200000 events |   in CI
SGM mu=2 q=0.2      2000  2000   777 |   0.000049     8/200000 events |   in CI
